repairAmount,tsaEligible,damagedStateAbbreviation
,0,AL
,0,CA
,1,CA
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
1665.0,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
736.54,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
1778.73,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
2000.0,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
499.5,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,1,FL
,1,FL
,0,FL
19728.0,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
10000.0,1,FL
,0,FL
,0,FL
,1,FL
12730.0,1,FL
,0,FL
,0,FL
1665.0,1,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
,1,FL
,1,FL
3420.0,0,FL
,1,FL
,1,FL
,0,FL
5660.0,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
499.5,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
1000.0,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
